control_area,assumption_risk,exploitation_or_failure_mode,hardening_constraint_for_solution,audit_verdict
operational-fail-safe,Assumes warnings are acted on and equivalent to enforcement,Security-critical failures continue silently until external detection,Fail closed for security and drift checks unless signed time-bound waiver token with approver and ticket is present,CONDITIONAL
secrets-and-data-loss-prevention,Assumes regex coverage is sufficient for modern secret leakage,Obfuscated or transformed secrets bypass patterns and are committed,Require layered detection with regex plus entropy plus context classifier plus quarantine on high-confidence findings,CONDITIONAL
change-control-gates,Assumes exact schema strictness always improves safety,Legitimate safety operations fail and teams bypass formal guardrails,Use required-minimum schema contract with versioned compatibility and explicit migration errors,CONDITIONAL
threat-intel-artifact-integrity,Assumes missing baseline artifacts do not materially affect decisions,Operators run updates with stale or absent threat baselines,Block update paths when required intel artifacts are missing unless documented emergency override is approved,CONDITIONAL
supply-chain-fetch-hardening,Assumes TLS allowlist and size limits imply source trust,Compromised allowed upstream serves poisoned but valid-looking payloads,Enforce signature or pinned-checksum verification and immutable snapshot retention before use,CONDITIONAL
ml-threat-modeling,Assumes static taxonomy injection equals operational ML defense,Poisoning evasion and abuse scenarios go untested in runtime workflows,Add executable abuse tests with pass-fail thresholds and release-blocking gates,CONDITIONAL
ml-governance-evidence,Assumes reference links are adequate evidence of implementation,Control claims drift from actual mitigations and tests,Maintain machine-readable control-to-test matrix with required evidence status at build time,CONDITIONAL
adversarial-testing-coverage,Assumes code and feed regression tests proxy adversarial ML risk,Model exploitation regressions remain undetected between releases,Run scheduled adversarial simulations with minimum coverage and zero-failure budget for critical paths,CONDITIONAL
prompt-injection-defense,Assumes awareness content prevents prompt injection behavior,Hostile context manipulates agents into unintended actions,Require boundary policy engine with trusted-context separation and denylisted tool and action patterns enforced pre-execution,CONDITIONAL
agentic-permission-boundaries,Assumes non-interactive yes mode is safe in routine automation,Single instruction misuse causes broad cross-repo writes,Require scoped write tokens per repo and path and dual approval for cross-repo or destructive operations,CONDITIONAL
unsafe-output-consumption,Assumes post-edit reruns catch unsafe generated changes,Insecure logic passes superficial checks and is merged automatically,Gate auto-remediation on semantic policy checks and high-risk diff blockers before merge eligibility,CONDITIONAL
sensitive-information-disclosure-controls,Assumes regex catches contextual or transformed sensitive data,LLM outputs leak paraphrased or encoded secrets not matching patterns,Use DLP-style semantic detectors with mandatory redact and quarantine workflow for suspected leaks,CONDITIONAL
threat-intel-freshness-governance,Assumes offline and no-NVD operation is acceptable for daily posture,Stale intelligence drives outdated risk decisions while pipeline appears healthy,Define freshness SLA and fail privileged or update workflows when SLA is exceeded,CONDITIONAL
scoring-completeness,Assumes capped CVE enrichment remains representative of true risk,High-impact issues outside sample are deprioritized or missed,Use deterministic risk-based sampling with mandatory disclosure of coverage ratio and truncation impact,CONDITIONAL
risk-decision-criteria,Assumes operators apply consistent judgment without numeric thresholds,Inconsistent remediation actions across teams and runs,Enforce explicit action thresholds mapped to required response for KEV and EPSS states,CONDITIONAL
stale-data-signaling,Assumes stale-data warnings are sufficient in privileged workflows,Stale intelligence is treated as current and residual risk is accepted unknowingly,Elevate stale-data state to blocking for privileged operations unless signed exception is recorded,CONDITIONAL
