solution_id,assumption_failure,abuse_or_break_mode,required_hardening_patch,audit_verdict
SOL-01,Assumes non-expert operators can interpret gate failures and safely use waiver tokens,Users normalize failures or reuse long-lived waivers that convert fail-closed into fail-open,Enforce short-lived signed waivers with reason codes approver separation max-use counts and CI rejection of wildcard or expired waivers,CONDITIONAL
SOL-02,Assumes layered detectors are tuned and maintainable without false-positive fatigue,Teams over-allow noisy findings and attackers evade single detectors with format shifts,Ship baseline tuning profiles mandatory allowlist expiry and review detector ensemble voting and regression corpus for obfuscated secrets,CONDITIONAL
SOL-03,Assumes required-subset schema compatibility will be implemented consistently,Schema drift or parser ambiguity allows malformed logs to pass or blocks legitimate logs,Publish canonical schema contract tests pin schema compatibility matrix reject unknown critical columns and require migration linter in CI,CONDITIONAL
SOL-04,Assumes freshness metadata and artifact lineage are trustworthy,Stale or fabricated artifacts with forged timestamps pass checks,Require signed artifact manifests with monotonic versioning trusted time-source validation issuer allowlist and scoped exception templates,CONDITIONAL
SOL-05,Assumes signature or checksum trust anchors are well-managed,Compromised keys or weak bootstrap lets poisoned feed pass compliance checks,Implement key rotation policy threshold signatures pinned offline root immutable snapshot verification and last-known-good rollback,CONDITIONAL
SOL-06,Assumes executable misuse assertions represent real ML abuse paths,Assertions become shallow and teams pass tests without meaningful coverage,Bind assertions to threat scenario IDs require mutation-test quality gates and fail CI on missing coverage deltas,CONDITIONAL
SOL-07,Assumes governance evidence artifacts are authentic complete and commit-bound,Stale or copied artifacts satisfy presence checks and produce false assurance,Cryptographically attest test artifacts bind evidence to commit SHA and run ID enforce freshness windows and independent verifier step,CONDITIONAL
SOL-08,Assumes adversarial numeric thresholds remain meaningful over time,Thresholds are lowered to unblock releases or overfit known test sets,Protect threshold changes with approval policy maintain holdout benchmark sets and auto-fail on statistically significant degradation,CONDITIONAL
SOL-09,Assumes sanitizer and policy gates cover every instruction channel,Indirect prompt injection through retrieval or tool output bypasses boundary checks,Apply taint tracking across context sources default-deny tool policy for untrusted context and mandatory signed intent for privileged actions,CONDITIONAL
SOL-10,Assumes least-authority scopes and signed intent are mapped correctly,Scope gaps or reusable tokens allow cross-repo destructive actions through unintended paths,Enforce per-action capability tokens nonce-bound one-time signatures repo and path allowlists and centralized deny-by-default authorization audit,CONDITIONAL
SOL-11,Assumes high-risk diff patterns are sufficient proxies for unsafe AI logic,Novel insecure logic bypasses pattern blockers and gets merged,Add semantic code policy checks with dataflow and sink rules require test evidence for sensitive edits and mandatory human review on high impact files,CONDITIONAL
SOL-12,Assumes semantic DLP quarantine will be reviewed promptly,Alert backlog creates auto-approval pressure and transformed data slips through,Set quarantine SLAs confidence-tiered escalation dual review requirements and fail-closed behavior for unresolved high-risk findings,CONDITIONAL
SOL-13,Assumes offline exceptions remain rare and bounded,Repeated renewals become permanent stale-data bypass,Implement hard exception budget renewal cooldown mandatory justification taxonomy and automatic stop on cumulative offline SLA breach,CONDITIONAL
SOL-14,Assumes deterministic sampling plus floor captures important CVE risk,High-risk issues outside sample remain underweighted while reports still pass,Use risk-stratified sampling with mandatory inclusion rules and omitted-set risk summaries and block publish on under-covered critical strata,CONDITIONAL
SOL-15,Assumes threshold ordering cannot be bypassed and inputs stay fresh,Stale or conflicting inputs cause inconsistent remediation outcomes,Encode policy as deterministic decision graph with signed freshness checks precedence conflict tests and operator-safe explanations in immutable audit trail,CONDITIONAL
SOL-16,Assumes stale-intel detection and privileged-path classification are complete,Users route actions through equivalent non-privileged paths to bypass stale blocks,Classify actions by effective impact and apply stale-data blocks to all equivalent-impact paths with tamper-evident stale-state attestations,CONDITIONAL
