conflict_id,solutions_involved,conflict_description,resolution_rule,sequence_adjustment,verdict
CF-01,SOL-01 and SOL-13,Baseline fail-closed behavior collides with offline TTL exceptions on privileged update paths,Fail-closed behavior takes precedence and exceptions are privileged and time-bounded,Apply SOL-01 first then gate SOL-13 only on privileged update paths,CONDITIONAL
CF-02,SOL-01 and SOL-16,Two blocking rules overlap for stale intelligence and can produce duplicate semantics,SOL-01 sets global default and SOL-16 only escalates stale intelligence for privileged paths,Apply SOL-01 first then add SOL-16 as stale-data escalation layer,CONDITIONAL
CF-03,SOL-02 and SOL-12,Secret detection and secret quarantine can duplicate detectors and alerts,SOL-02 handles detection and SOL-12 handles redaction and quarantine after detection,Run SOL-02 before SOL-12 so detection feeds quarantine,CONDITIONAL
CF-04,SOL-04 and SOL-13,Artifact freshness metadata and freshness SLA enforcement touch same trust boundary,SOL-04 governs artifact presence and SOL-13 governs freshness exceptions and expiry,Run SOL-04 before SOL-13 so freshness policy applies to present artifacts,PASS
CF-05,SOL-05 and SOL-13,Signed-feed retention and freshness governance can disagree on last-good snapshot acceptability,Trust signed or pinned snapshots first then apply freshness actionability checks,Run SOL-05 before SOL-13 so provenance is established before freshness gating,PASS
CF-06,SOL-06 and SOL-07,Executable misuse assertions and control-evidence matrix overlap in ML governance,SOL-06 defines runtime controls and SOL-07 records evidence for those controls,Run SOL-06 before SOL-07 so evidence maps to concrete assertions,PASS
CF-07,SOL-06 and SOL-08,Adversarial misuse assertions and adversarial thresholds can duplicate test intent,SOL-06 defines coverage requirements and SOL-08 defines numeric pass thresholds for shared suite,Use one shared adversarial harness with coverage then thresholds,CONDITIONAL
CF-08,SOL-07 and SOL-08,Governance evidence and adversarial pass criteria can both block on same missing artifact,Missing evidence must fail earlier than threshold evaluation,Evaluate SOL-07 before SOL-08 so evidence gaps stop pipeline first,CONDITIONAL
CF-09,SOL-09 and SOL-10,Prompt boundary sanitization and least-authority controls can be misread as substitutes,Prompt defense is necessary but authorization remains mandatory,Run SOL-09 before SOL-10 so hostile instructions are filtered before auth checks,CONDITIONAL
CF-10,SOL-10 and SOL-11,Authorization scopes and diff-policy gates both control destructive edits and may duplicate approvals,Authorization decides who can act and diff policy decides what content is acceptable,Run SOL-10 before SOL-11 so identity and scope are checked before content policy,PASS
CF-11,SOL-11 and SOL-12,AI output policy checks and secret redaction can conflict if redaction happens too late,Secret quarantine must occur before accepting patch into merge path,Run SOL-12 before SOL-11 so secret handling precedes diff acceptance,CONDITIONAL
CF-12,SOL-14 and SOL-15,Coverage sampling and action-threshold enforcement both shape risk outputs and can misorder gates,Completeness checks must pass before threshold-based actions are evaluated,Run SOL-14 before SOL-15 so scoring completeness is established first,CONDITIONAL
