critique_row,control_area,solution_id,infrastructure_change,enforcement_point,generated_team_behavior,acceptance_test,default_mode,rollout_phase,priority,audit_status,audit_notes
1,operational-fail-safe,SOL-01,make write update and release commands fail closed unless security gates pass,ci pipeline and build_team update path,generated teams stop automation on gate failure and require waiver token with expiry,simulate failing drift check and confirm update exits nonzero and no files are written,strict-blocking,Phase-1,P1,audited-conditional,see-adversarial-and-conflict-audit-csv
2,secrets-and-data-loss-prevention,SOL-02,implement layered secret detection regex plus entropy plus structured parser plus semantic classifier,pre-commit scan and pre-release audit,generated teams quarantine suspected leaks and require explicit allow rule review,plant obfuscated token and verify at least one non-regex detector blocks release,strict-blocking,Phase-2,P2,audited-conditional,see-adversarial-and-conflict-audit-csv
3,change-control-gates,SOL-03,version decision log schema and validate strict required subset while allowing additive columns,destructive action gate in build_team,generated teams accept versioned logs only when required subset and schema_version are valid,run destructive dry run with missing required subset and confirm hard block,strict-blocking,Phase-1,P1,audited-conditional,see-adversarial-and-conflict-audit-csv
4,threat-intel-artifact-integrity,SOL-04,bootstrap required threat intel artifacts and enforce presence and freshness metadata,data quality gate before risk scoring,generated teams fail update path if artifacts missing and allow ttl exception only by policy token,delete watch artifact and confirm update path blocks before automation,strict-blocking,Phase-2,P2,audited-conditional,see-adversarial-and-conflict-audit-csv
5,supply-chain-fetch-hardening,SOL-05,require signed feed manifest or pinned checksum with immutable snapshot retention,security_refs fetch and cache step,generated teams reject unsigned or checksum mismatch feeds and keep last good snapshot,serve tampered payload from allowed domain and confirm ingestion fails,guarded-degraded,Phase-4,P3,audited-conditional,see-adversarial-and-conflict-audit-csv
6,ml-threat-modeling,SOL-06,convert ml risk taxonomy items into executable misuse control assertions,security maintenance test stage,generated teams run poisoning evasion and model abuse checks as blocking tests,disable one assertion and confirm pipeline blocks with failing control id,strict-blocking,Phase-1,P1,audited-conditional,see-adversarial-and-conflict-audit-csv
7,ml-governance-evidence,SOL-07,add atlas to control matrix that binds each technique to a test id and mitigation id,governance validation step in daily maintenance,generated teams fail governance check when mapped test evidence is missing,remove one mapped test artifact and confirm governance gate fails,guarded-degraded,Phase-2,P2,audited-conditional,see-adversarial-and-conflict-audit-csv
8,adversarial-testing-coverage,SOL-08,add adversarial prompt and data poisoning suites with numeric pass thresholds,security regression suite before automation stage,generated teams require adversarial pass before remediation or merge automation,force threshold breach and verify automation stage is skipped,guarded-degraded,Phase-2,P2,audited-conditional,see-adversarial-and-conflict-audit-csv
9,prompt-injection-defense,SOL-09,implement prompt boundary sanitizer plus tool call policy gate plus hostile context tests,agent action planner and ci red-team tests,generated teams reject untrusted instructions that request privileged actions without signed intent,inject hostile instruction in fixture and confirm action is denied,strict-blocking,Phase-1,P1,audited-conditional,see-adversarial-and-conflict-audit-csv
10,agentic-permission-boundaries,SOL-10,enforce least-authority write scopes and signed intent for cross-repo or destructive operations,command authorization layer in build_team and scripts,generated teams require scoped token and signed intent manifest before merge or delete actions,attempt cross-repo merge without signed intent and confirm hard block,strict-blocking,Phase-1,P1,audited-conditional,see-adversarial-and-conflict-audit-csv
11,unsafe-output-consumption,SOL-11,insert executable diff policy gate with high-risk pattern blockers before auto-correct acceptance,post-remediation pre-merge gate,generated teams accept ai edits only when policy engine returns allow and provenance is logged,submit ai patch containing blocked pattern and verify merge refusal,strict-blocking,Phase-2,P2,audited-conditional,see-adversarial-and-conflict-audit-csv
12,sensitive-information-disclosure-controls,SOL-12,add layered dlp pipeline semantic leak detector and redaction quarantine flow,file generation and audit scan stages,generated teams redact or quarantine sensitive output and require reviewer release,generate transformed secret sample and confirm quarantine triggers,guarded-degraded,Phase-2,P2,audited-conditional,see-adversarial-and-conflict-audit-csv
13,threat-intel-freshness-governance,SOL-13,policy-gate offline mode with ttl exception and fail closed when freshness sla expires,maintenance entrypoint and risk data loader,generated teams permit offline only with unexpired exception token and record reason code,run with offline flag and expired ttl and confirm immediate block,strict-blocking,Phase-1,P1,audited-conditional,see-adversarial-and-conflict-audit-csv
14,scoring-completeness,SOL-14,replace fixed cve cap with deterministic risk sampling plus minimum coverage disclosure gate,risk enrichment stage before scoring output,generated teams fail report publish when coverage floor is not met,feed more cves than prior cap and verify coverage floor enforcement,guarded-degraded,Phase-3,P2,audited-conditional,see-adversarial-and-conflict-audit-csv
15,risk-decision-criteria,SOL-15,define executable threshold policy kev true or epss percentile and enforce sequencing data quality then risk thresholds then actions,decision engine before automation actions,generated teams cannot remediate auto merge or release until threshold logic evaluates deterministically,provide stale dataset and high epss sample then verify data quality gate runs first and blocks action,strict-blocking,Phase-2,P2,audited-conditional,see-adversarial-and-conflict-audit-csv
16,stale-data-signaling,SOL-16,escalate stale intelligence from warning to blocking on privileged update paths with ttl exception workflow,update and release gate in maintenance scripts,generated teams block privileged automation on stale intel unless approved exception token is valid,mark intel stale and confirm release path exits nonzero without exception,strict-blocking,Phase-2,P2,audited-conditional,see-adversarial-and-conflict-audit-csv
